Tweet_ID,target
1444745739985432586,no
1437799717560274944,no
1433572937228070917,no
1428346864760360962,no
1427327605544472576,no
1419288042691510273,no
1415277679520124928,no
1413483116598026240,no
1411714263199195142,no
1409929610788327428,no
1396471855796604930,no
1392036549009809412,no
1390252009442496512,no
1389484103880388608,no
1388405852302893059,no
1387378533765468160,no
1385244223339782152,no
1381274522540728320,no
1378671095650385920,no
1374730291751882758,no
1367438924965158914,no
1367137288593891334,no
1363549547272765440,no
1353362594803937280,no
1345033385463459840,no
1341818884312215553,no
1341806984698466304,no
1339590583191437315,no
1336012704927129601,no
1335640514599718912,no
1335571002248613889,no
1335245796242042881,no
1334835988917608448,no
1334835209070645248,no
1334834883294801920,no
1453687004634533899,no
1453368413959692294,no
1453291182331764752,no
1453002156878016516,no
1452978523283591178,no
1452633075406540807,no
1452594537512292356,no
1452555683635908609,no
1451559472934105091,no
1451146748165070850,no
1451038544772878336,no
1450810202236784645,no
1450801370311843843,no
1450793367122612225,no
1450768638944948226,no
1450747863194087427,no
1450443454761377792,no
1450380766463111171,no
1449782336317444104,no
1449686062754934793,no
1449676587985670146,no
1449042751509696519,no
1448999562627190787,no
1448612312647143424,no
1448263820800110596,no
1447962851071729664,no
1447951154126721028,no
1447945918498713608,no
1447597634949156877,no
1447580215690121221,no
1447530341368008706,no
1447160271949246468,no
1446519196532285441,no
1446437726107193378,no
1446429924278120448,no
1446413998556078114,no
1446119986028703753,no
1446119612446167046,no
1445804579350667278,no
1445760880042397712,no
1445731616958164992,no
1445690293559332866,no
1445394440533708824,no
1445111172651491336,no
1445108590247915523,no
1445104081643638794,no
1443910881277063170,no
1443592877183889414,no
1443184138949992453,no
1443145145705287683,no
1442856324392538119,no
1442842419205136393,no
1442792175914393605,no
1442530887065821185,no
1442431773749567488,no
1442417306055987202,no
1441389114004213761,no
1441387070463774722,no
1441377698119553025,no
1441078238067843074,no
1440742197771464704,no
1440633941745029120,no
1440602099062960138,no
1440590654975873024,no
1440588646399102979,no
1440583905531207693,no
1440252095496523789,no
1439980557652348932,no
1439932749381574659,no
1439212706574311431,no
1438905613736685573,no
1438811788800364549,no
1438774481334505473,no
1438509552874360832,no
1438498856178573320,no
1438452344002338821,no
1438434700545167363,no
1438119095073914885,no
1438086077093384195,no
1437771225057611780,no
1437750457800200195,no
1437729474250952707,no
1437444389287174151,no
1437441276534792193,no
1437411870999203842,no
1437368178749984776,no
1436630644969312262,no
1436341340086886430,no
1436272670581084165,no
1436257638074011648,no
1435996309417340933,no
1435988242504069130,no
1435934959634636803,no
1435908147730915329,no
1435628909375201285,no
1435242316290301953,no
1434925598628007940,no
1434882254803701761,no
1434862912909332484,no
1433747230972854273,no
1433738766431236121,no
1433411004730335236,no
1433400562050117633,no
1433377616791224322,no
1433356846753099779,no
1433339602346156032,no
1433083639923974150,no
1433026397564547074,no
1432668102085447680,no
1431245740454686722,no
1430837534834237446,no
1430555135051194369,no
1430493559510212611,no
1430205236824662016,no
1430201191745662985,no
1430190457133453317,no
1428776220154601477,no
1428674493820588033,no
1428656582758391808,no
1428405178185682952,no
1428292342499487744,no
1428039066273161221,no
1428023161967239183,no
1427898939869696004,no
1427657635902500864,no
1427655512280207361,no
1427624826752094221,no
1427614107214262277,no
1427591552474533899,no
1427254246592946177,no
1426805435315761153,no
1426468713784557568,no
1426153789078265856,no
1425834987643826180,no
1425792736343494664,no
1425762901487390722,no
1425447356879810569,no
1425106662189375491,no
1425054625716183059,no
1424757558963752964,no
1424752956046561280,no
1424737021252276235,no
1424698151399743491,no
1424694714205343746,no
1423586257817505794,no
1423569616085950464,no
1423300031872999426,no
1423217138102325249,no
1423211016750522368,no
1423207352031973376,no
1423187161864626179,no
1422956242344030214,no
1422926260364353548,no
1422865340283883525,no
1422590817844166660,no
1422526892683431938,no
1422502747727962112,no
1422490945128370187,no
1422250808461205507,no
1422151875894423555,no
1422107476749606914,no
1421485810772332546,no
1421115053923880960,no
1421090144715776000,no
1421015144314847236,no
1420798951180095491,no
1420741003980382218,no
1420458082216337410,no
1420379983944552448,no
1420304572808052738,no
1420060285122060293,no
1419983746833522689,no
1419982642515218440,no
1419980712959217672,no
1419942415520182274,no
1419682896206512138,no
1419661550521131008,no
1419607335996215299,no
1419597712211730437,no
1418873660828495874,no
1418653142682636292,no
1418577799141634060,no
1418508852723650563,no
1418221770318893062,no
1417936787675168768,no
1417901745909477379,no
1417884880239726595,no
1417878625857245185,no
1417857408047714309,no
1417813151521951746,no
1417789045745373184,no
1417560052081340420,no
1417522224039399429,no
1417501942390136834,no
1417448884557783067,no
1417444067131150336,no
1417155881226153986,no
1417148791191375877,no
1417130820750516225,no
1417095791135629321,no
1417080863074947079,no
1417062713411391489,no
1417062082030231552,no
1416856175874875393,no
1416833551744503809,no
1416826784587395080,no
1416383995776995336,no
1416249047526961152,no
1416078108076224514,no
1415670111717892097,no
1415661629086261251,no
1415630888206053383,no
1415615990096928770,no
1415319818916478977,no
1415307168304222219,no
1415233558080282625,no
1414945888523390979,no
1414911162014179330,no
1414884342820745218,no
1414641721468755974,no
1414614136311488513,no
1414581931916865541,no
1414558417574899713,no
1414554513164410890,no
1413829800230334465,no
1413211433261805571,no
1413082367053402119,no
1413068370480619523,no
1412779588044922886,no
1412712528786886658,no
1412696804441874432,no
1412397021529620483,no
1412385384454045697,no
1412363104986484738,no
1412061670617276418,no
1412036126488023046,no
1412019279965392900,no
1411987999613718528,no
1411986351550091265,no
1411641008853499904,no
1410945140403941382,no
1410902822636462081,no
1410625539996585992,no
1410545837512474625,no
1410542711376056321,no
1410541131499180032,no
1410282047428517893,no
1410240177856036864,no
1410216482806632452,no
1410161420730310658,no
1409844186828918792,no
1409535911684186113,no
1408726737639428099,no
1408683838889500675,no
1408683187807604737,no
1408424470780559365,no
1408372625961852928,no
1408314704393555970,no
1408009968809385986,no
1407759476615155718,no
1407756738951008259,no
1407722972677349382,no
1407674883413315594,no
1407648613434527745,no
1407643636888653831,no
1407385503020818448,no
1407362865393192970,no
1407292260425863174,no
1407288712678055941,no
1407263988967149569,no
1407238195675291651,no
1407235995364429825,no
1406936993410469889,no
1406874140892667906,no
1406651766846930946,no
1406649020794249222,no
1406552495586000896,no
1406273139668041730,no
1405888077831282691,no
1405842294142537731,no
1405485405856796673,no
1405147853056512005,no
1404844056253972487,no
1404840984995942401,no
1404791050288439302,no
1404498892457185283,no
1404471400774131715,no
1404404628586967041,no
1404383104933011456,no
1403687689778511877,no
1403685284269658112,no
1403369393887891460,no
1403352465966305282,no
1403340949246316547,no
1403325846174285825,no
1403299451435950087,no
1403049076753670152,no
